引脚名,MUX0,MUX1,MUX2,MUX3,MUX4,MUX5,MUX6,MUX7,MUX8,MUX9,MUX10,MUX11,MUX12,MUX13,MUX14,MUX15,ANALOG,备注
PC12,,,,TMR11_CH1,I2C2_SDA,,SPI3_MOSI I2S3_SDEXT,USART3_CK,UART5_TX,,,,SDIO1_CK,DVP_D9,XMC_D3,EVENTOUT,,
PC13,,,,,,,,,,,,,,,,EVENTOUT,,
PC14,,,,,,,,,,,,,,,,EVENTOUT,,
PC15,,,,,,,,,,,,,,,,EVENTOUT,,
PD0,,,,,,SPI4_MISO,SPI3_MOSI I2S3_SDEXT,SPI2_CS I2S2_WS,,CAN1_RX,XMC_A5,,XMC_D2,,,EVENTOUT,,
PD1,,,,,,,SPI2_SCK I2S2_CK,SPI2_CS I2S2_WS,,CAN1_TX,XMC_A6,,XMC_D3,,,EVENTOUT,,
PD2,,,TMR3_EXT,,,,,USART3_RTS_DE,UART5_RX,,XMC_A7,,SDIO1_CMD,DVP_D11,XMC_NWE,EVENTOUT,,
PD3,,,,,,SPI2_SCK I2S2_CK,SPI2_MISO,USART2_CTS,,QSPI1_SCK,XMC_A8,,XMC_CLK,DVP_D5,,EVENTOUT,,
PD4,,,,,,,SPI2_MOSI I2S2_SDEXT,USART2_RTS_DE,,,XMC_A9,,XMC_NOE,,,EVENTOUT,,
PD5,,,,,,,,USART2_TX,,,XMC_A10,,XMC_NWE,,,EVENTOUT,,
PD6,,,,,,SPI3_MOSI I2S3_SDEXT,,USART2_RX,,,XMC_A11,,XMC_NWAIT,DVP_D10,,EVENTOUT,,
PD7,,,,,,,,USART2_CK,,,XMC_A12,,XMC_NE1 XMC_NCE2,,,EVENTOUT,,
PD8,,,,,,,,USART3_TX,,,,EMAC_MII_RX_DV EMAC_RMII_CRS_DV,XMC_D13,,,EVENTOUT,,
PD9,,,,,,,,USART3_RX,,,,EMAC_MII_RXD0 EMAC_RMII_RXD0,XMC_D14,,,EVENTOUT,,
PD10,,,,,,,,USART3_CK,,,,EMAC_MII_RXD1 EMAC_RMII_RXD1,XMC_D15,,,EVENTOUT,,
PD11,,,,,I2C2_SMBA,,,USART3_CTS,,QSPI1_IO0,XMC_A14 XMC_SDBA0,EMAC_MII_RXD2,XMC_A16 XMCCLE,,,EVENTOUT,,
PD12,,,TMR4_CH1,,I2C2_SCL,,,USART3_RTS_DE,,QSPI1_IO1,XMC_A15 XMC_SDBA1,EMAC_MII_RXD3,XMC_A17 XMCALE,,,EVENTOUT,,
PD13,,,TMR4_CH2,,I2C2_SDA,,,,UART8_TX,QSPI1_IO3,XMC_SD_CLK,,XMC_A18,,,EVENTOUT,,
PD14,,,TMR4_CH3,,I2C3_SCL,,,,UART8_RX,,,,XMC_D0,,,EVENTOUT,,
PD15,,,TMR4_CH4,,I2C3_SDA,,,,,,,,XMC_D1,,,EVENTOUT,,
PE0,,,TMR4_EXT,,,,TMR20_EXT,,UART8_RX,,,,XMC_LB/XM C_SDDQML,DVP_D2,,EVENTOUT,,
PE1,,TMR1_CH2C,,,,,TMR20_CH4,,UART8_TX,,,,XMC_UB/X MC_SDDQMH,DVP_D3,,EVENTOUT,,
PE2,,,TMR3_EXT,,,SPI4_SCK I2S4_CK,TMR20_CH1,,,QSPI1_IO2,XMC_SDNCAS,EMAC_MII_TXD3,XMC_A23,,,EVENTOUT,,
PE3,,,TMR3_CH1,,,,TMR20_CH2,,,,,,XMC_A19,DVP_D9,,EVENTOUT,,
PE4,CLKOUT1,,TMR3_CH2,,,SPI4_CS I2S4_WS,TMR20_CH1C,,,,,,XMC_A20,DVP_D4,,EVENTOUT,,
PE5,,,TMR3_CH3,TMR9_CH1,,SPI4_MISO,TMR20_CH2C,,,,,,XMC_A21,DVP_D6,,EVENTOUT,,
PE6,,,TMR3_CH4,TMR9_CH2,,SPI4_MOSI I2S4_SDEXT,TMR20_CH3C,,,,XMC_SDNRAS,,XMC_A22,DVP_D7,,EVENTOUT,,
PE7,,TMR1_EXT,,,,,,,UART7_RX,,QSPI2_IO0,,XMC_D4,,,EVENTOUT,,
PE8,,TMR1_CH1C,,,,,,UART4_TX,UART7_TX,,QSPI2_IO1,,XMC_D5,,,EVENTOUT,,
PE9,,TMR1_CH1,,,,,,UART4_RX,,,QSPI2_IO2,,XMC_D6,,,EVENTOUT,,
PE10,,TMR1_CH2C,,,,,,,UART5_TX,,QSPI2_IO3,,XMC_D7,,,EVENTOUT,,
PE11,,TMR1_CH2,,,,SPI4_CS I2S4_WS,,,UART5_RX,,,,XMC_D8,,,EVENTOUT,,
PE12,,TMR1_CH3C,,,SPI1_CS I2S1_WS,SPI4_SCK I2S4_CK,,,,,,,XMC_D9,,,EVENTOUT,,
PE13,,TMR1_CH3,,,SPI1_SCK I2S1_CK,SPI4_MISO,,,,,,,XMC_D10,,,EVENTOUT,,
PE14,,TMR1_CH4,,,SPI1_MISO,SPI4_MOSI I2S4_SDEXT,,,,,,,XMC_D11,,,EVENTOUT,,
PE15,,TMR1_BRK,,,SPI1_MOSI I2S1_SDEXT,,,,,,,,XMC_D12,,,EVENTOUT,,
PF0,,,,,I2C2_SDA,,,,,,,,XMC_A0,,,EVENTOUT,,
PF1,,,,,I2C2_SCL,,,,,,,,XMC_A1,,,EVENTOUT,,
PF2,,,TMR20_CH3,,I2C2_SMBA,,,,,,,,XMC_A2,,,EVENTOUT,,
PF3,,,TMR20_CH4,,,,,,,,,,XMC_A3,,,EVENTOUT,ADC3_IN9,
PF4,,,TMR20_CH1C,,,,,,,,,,XMC_A4,,,EVENTOUT,ADC3_IN14,
PF5,,,TMR20_CH2C,,,,,,,,,,XMC_A5,,,EVENTOUT,ADC3_IN15,
PF6,,,TMR20_CH4,TMR10_CH1,,,,,UART7_RX,QSPI1_IO3,,,XMC_NIORD,,,EVENTOUT,ADC3_IN4,
PF7,,,TMR20_BRK,TMR11_CH1,,,,,UART7_TX,QSPI1_IO2,,,XMC_NREG,,,EVENTOUT,ADC3_IN5,
PF8,,,,,,,,,,TMR13_CH1,QSPI1_IO0,,XMC_NIOWR,,,EVENTOUT,ADC3_IN6,
PF9,,,TMR20_BRK,,,,,,,TMR14_CH1,QSPI1_MOSI_IO1,,XMC_CD,,,EVENTOUT,ADC3_IN7,
PF10,,TMR1_EXT,TMR5_CH4,,,,,,,QSPI1_SCK,,,XMC_INTR,DVP_D11,,EVENTOUT,ADC3_IN8,
PF11,,,TMR20_EXT,TMR8_EXT,,,,,,,,,XMC_SDNRAS,DVP_D12,,EVENTOUT,,
PF12,,,TMR20_CH1,TMR8_BRK,,,,,,,,,XMC_A6,,,EVENTOUT,,
PF13,,,TMR20_CH2,,I2C3_SMBA,,,,,,,,XMC_A7,,,EVENTOUT,,
PF14,,,TMR20_CH3,,I2C3_SCL,,,,,,,,XMC_A8,,,EVENTOUT,,
PF15,,,TMR20_CH4,,I2C3_SDA,,,,,,,,XMC_A9,,,EVENTOUT,,
PG0,,,TMR20_CH1C,,,SPI1_MISO,,,,CAN1_RX,,,XMC_A10,,,EVENTOUT,,
PG1,,,TMR20_CH2C,,,SPI1_MOSI I2S1_SDEXT,,,,CAN1_TX,,,XMC_A11,,,EVENTOUT,,
PG2,,,TMR20_CH3C,,,,,,,,,,XMC_A12,,,EVENTOUT,,
PG3,,,TMR20_BRK,,,,,,,,,,XMC_A13,,,EVENTOUT,,
PG4,,,,,,,,,,,,,XMC_A14 XMC_SDBA0,,,EVENTOUT,,
PG5,,,TMR20_EXT,,,,,,,,,,XMC_A15 XMC_SDBA1,,,EVENTOUT,,
PG6,,,,,,,,,,,QSPI1_CS,,XMC_INT2,DVP_D12,,EVENTOUT,,
PG7,,,,,,,,,USART6_CK,,,,XMC_INT3,DVP_D13,,EVENTOUT,,
PG8,,,,,,QSPI2_CS,,,USART6_RTS_DE,,,EMAC_PPS_OUT,XMC_SDCLK,,,EVENTOUT,,
PG9,,,,,,,,,USART6_RX,QSPI1_IO2,,,XMC_NE2 XMC_NCE3,DVP_VSYNC,,EVENTOUT,,
PG10,,,,,,QSPI2_IO2,,,,,,,XMC_NE3 XMC_NCE4_1,DVP_D2,,EVENTOUT,,
PG11,,,,,,QSPI2_IO3,SPI4_SCK I2S4_CK,,,CAN2_RX,,EMAC_MII_TX_EN EMAC_RMII_TX_EN,XMC_NCE4_2,DVP_D3,,EVENTOUT,,
PG12,,,,,,QSPI2_IO1,SPI4_MISO,,USART6_RTS_DE,CAN2_TX,,,XMC_NE4,,,EVENTOUT,,
PG13,,,,,,QSPI2_SCK,SPI4_MOSI I2S4_SDEXT,,USART6_CTS,,,EMAC_MII_TXD0 EMAC_RMII_TXD0,XMC_A24,,,EVENTOUT,,
PG14,,,,,,QSPI2_IO0,SPI4_CS I2S4_WS,,USART6_TX,QSPI1_IO3,,EMAC_MII_TXD1 EMAC_RMII_TXD1,XMC_A25,,,EVENTOUT,,
PG15,,,,,,,,,USART6_CTS,,,,XMC_SDNCAS,DVP_D13,,EVENTOUT,,
PH0,,,,,I2C1_SDA,,,,,,,,,,,EVENTOUT,,
PH1,,,,,I2C1_SCL,,,,,,,,,,,EVENTOUT,,
PH2,,,TMR5_CH1,,I2C2_SCL,,,,UART4_RX,,QSPI1_IO0,,,,,EVENTOUT,,
PH3,,,TMR5_CH2,,I2C2_SDA,,,,UART4_TX,,QSPI1_IO1,,,,,EVENTOUT,,
